Id,UNIQUE_ID
0,PRQA160
0,PRF114
0,PRQA79
0,PRQA84
0,PRQA88
0,PRQA87
0,PRQA89
0,PRF94
0,PRQA90
0,PRF91
0,PRF96 & 97
0,PRF100A
0,PRF99
0,PRF94A
0,PRA106C
0,PRQA64
0,PRQA65
0,PRF108
0,PRF113
0,PRF113A
0,PRF113B
0,PRF102
0,PRF103
0,PRF101
0,PRF104
0,PRF118A
0,PRF117
0,PRF118
0,PRF115B
0,PRA191
0,PRLW20C
0,PRLW20B
0,PRA106
0,PRI165
0,PRF200
0,PRF112B
0,PRF119
0,PRF105A
0,PRF105
0,PRF124
0,PRQAA
0,PRQA75
0,PRQA80
0,PRQA66
0,PRMP69
0,PRMP68
0,PRMP70
0,PRQA71
0,PRQA72
0,PRQA73
0,PRQA74
0,PRQA74A
0,PRQA78
0,PRQA81
0,PRQA82
0,PRQA83
0,PRQA85
0,PRQA86
0,PRLW20A
0,PRLW20D
0,PRLW27A
0,PRLW29
0,PRLW29A
0,PRQA72A
0,PRQA73A
0,PRQA80A
0,PRF95
0,PRF98
0,PRF100
0,PRF107
0,PRF110 & 111
0,PRF109
0,PRF115
0,PRF112
0,PRF115A
0,PRF116
0,PRF115C
0,PRF120
0,PRF129
0,PRF129A
0,PRA156
0,PRA156B
0,PRA156A
0,PRA157
0,PRA157A
0,PRA157B
0,PRA157D
0,PRA157E
0,PRA158
0,PRA158A
0,PRA158B
0,PRF161
0,PRI165A
0,PRI165B
0,PRF184
0,PRF184A
0,PRF184C
0,PRF184E
0,PRF184D
0,PRF184B
0,PRI192
0,PRI192D
0,PRI192A
0,PRI192B
0,PRI192C
0,PRI193
0,PRI193A
0,PRI193B
0,PRA156C
0,PRA157C
0,PRF129B
0,PRLW28
0,PRF112A
0,PRF159
0,PRF130
0,PRLW27
0,PRQAA
0,PRLW28A
0,PRF91A
0,PRLW20
0,PRLFG7A
0,PRF115D
0,PRF184F
0,PRQA160A
0,PRF112D
0,PRF112C
0,PRF112E
0,PRF112F
