PPID,EFFDT,FEATURECD,TWP,RGE,MER,TRM
01300004P9,09/02/2007,THEORETIC,86,04,2,86-04-2
01300004PD,09/02/2007,THEORETIC,87,07,2,87-07-2
01300001PQ,09/11/2017,SURVEYED,36,27,3,36-27-3
01300005AP,09/02/2007,THEORETIC,68,07,2,68-07-2
01300005AV,09/02/2007,THEORETIC,69,06,2,69-06-2
01300005B2,09/02/2007,THEORETIC,70,04,2,70-04-2
01300005B8,09/02/2007,THEORETIC,71,06,2,71-06-2
01300005BE,09/02/2007,THEORETIC,73,05,2,73-05-2
01300005C1,09/02/2007,THEORETIC,76,08,2,76-08-2
01300005C8,09/02/2007,THEORETIC,78,03,2,78-03-2
01300005D5,09/02/2007,THEORETIC,83,02,2,83-02-2
01300005DM,09/02/2007,THEORETIC,86,06,2,86-06-2
01300005DY,09/02/2007,THEORETIC,87,03,2,87-03-2
01300005EC,09/02/2007,THEORETIC,90,07,2,90-07-2
01300005F4,09/02/2007,THEORETIC,94,01,2,94-01-2
01300005F7,09/02/2007,THEORETIC,94,02,2,94-02-2
01300005FK,09/02/2007,THEORETIC,95,03,2,95-03-2
01300005FL,09/02/2007,THEORETIC,95,07,2,95-07-2
01300003WA,09/02/2007,THEORETIC,64,02,2,64-02-2
01300003WE,09/02/2007,THEORETIC,65,08,2,65-08-2
01300003WL,09/02/2007,THEORETIC,66,04,2,66-04-2
0130000405,09/02/2007,THEORETIC,88,05,2,88-05-2
013000051M,09/02/2007,THEORETIC,88,06,2,88-06-2
0130000409,09/02/2007,THEORETIC,89,02,2,89-02-2
013000040C,09/02/2007,THEORETIC,89,04,2,89-04-2
013000014G,09/11/2017,SURVEYED,48,14,2,48-14-2
013000049H,09/02/2007,THEORETIC,72,06,2,72-06-2
01300005SS,09/02/2007,THEORETIC,89,06,2,89-06-2
0130000533,09/02/2007,THEORETIC,97,07,2,97-07-2
013000053D,09/02/2007,THEORETIC,99,17,2,99-17-2
013000053N,09/02/2007,THEORETIC,100,10,3,100-10-3
013000053U,09/02/2007,THEORETIC,100,04,3,100-04-3
013000053W,09/02/2007,THEORETIC,101,13,3,101-13-3
013000055L,09/02/2007,THEORETIC,108,09,2,108-09-2
013000056D,09/02/2007,THEORETIC,113,11,2,113-11-2
013000056S,09/02/2007,THEORETIC,114,03,2,114-03-2
0130000572,09/02/2007,THEORETIC,116,05,2,116-05-2
013000057P,09/02/2007,THEORETIC,119,24,2,119-24-2
0130000584,09/02/2007,THEORETIC,121,19,2,121-19-2
0130000586,09/02/2007,THEORETIC,121,21,2,121-21-2
013000058P,09/02/2007,THEORETIC,124,09,2,124-09-2
01300005EE,09/02/2007,THEORETIC,91,01,2,91-01-2
01300004CM,09/02/2007,THEORETIC,91,03,2,91-03-2
01300004PW,09/02/2007,THEORETIC,91,04,2,91-04-2
01300005T3,09/02/2007,THEORETIC,91,06,2,91-06-2
01300004CS,09/02/2007,THEORETIC,92,03,2,92-03-2
01300004CU,09/02/2007,THEORETIC,92,07,2,92-07-2
013000064V,09/02/2007,THEORETIC,93,01,2,93-01-2
01300004DB,09/02/2007,THEORETIC,94,05,2,94-05-2
013000041B,09/02/2007,THEORETIC,94,07,2,94-07-2
013000041Q,09/02/2007,THEORETIC,96,07,2,96-07-2
01300005NC,09/02/2007,THEORETIC,64,06,2,64-06-2
01300005NK,09/02/2007,THEORETIC,65,05,2,65-05-2
01300005PX,09/02/2007,THEORETIC,73,08,2,73-08-2
01300005Q6,09/02/2007,THEORETIC,74,04,2,74-04-2
01300005Q9,09/02/2007,THEORETIC,75,03,2,75-03-2
01300003WY,09/02/2007,THEORETIC,68,04,2,68-04-2
01300003WZ,09/02/2007,THEORETIC,69,01,2,69-01-2
01300003X7,09/02/2007,THEORETIC,70,06,2,70-06-2
01300003XA,09/02/2007,THEORETIC,71,01,2,71-01-2
01300003YV,09/02/2007,THEORETIC,81,03,2,81-03-2
01300003YY,09/02/2007,THEORETIC,81,08,2,81-08-2
01300000AP,09/02/2007,THEORETIC,70,30,1,70-30-1
013000009L,09/02/2007,THEORETIC,73,30,1,73-30-1
013000008R,09/02/2007,THEORETIC,79,30,1,79-30-1
0130000507,09/02/2007,THEORETIC,81,30,1,81-30-1
013000008P,09/02/2007,THEORETIC,80,30,1,80-30-1
01300005CZ,09/02/2007,THEORETIC,82,30,1,82-30-1
01300000A2,09/02/2007,THEORETIC,72,30,1,72-30-1
013000050F,09/02/2007,THEORETIC,83,01,2,83-01-2
013000009A,09/02/2007,THEORETIC,76,30,1,76-30-1
013000009G,09/02/2007,THEORETIC,75,30,1,75-30-1
01300000AT,09/02/2007,THEORETIC,69,30,1,69-30-1
01300000AJ,09/02/2007,THEORETIC,71,30,1,71-30-1
013000009J,09/02/2007,THEORETIC,74,30,1,74-30-1
0130000183,09/11/2017,SURVEYED,46A,25,2,46A-25-2
0130000013,09/02/2007,SURVEYED,60,23,3,60-23-3
01300000F8,09/02/2007,SURVEYED,61,27,3,61-27-3
0130000271,09/11/2017,SURVEYED,26,07,2,26-07-2
01300000FC,09/02/2007,SURVEYED,61,24,3,61-24-3
01300000FZ,09/02/2007,SURVEYED,60,24,3,60-24-3
01300000GS,09/02/2007,SURVEYED,59,26,3,59-26-3
01300000GY,09/02/2007,SURVEYED,59,25,3,59-25-3
01300000H8,09/02/2007,SURVEYED,59,24,3,59-24-3
01300000HX,09/02/2007,SURVEYED,58,27,3,58-27-3
01300000JK,09/02/2007,SURVEYED,57,27,3,57-27-3
01300000JN,09/02/2007,SURVEYED,57,25,3,57-25-3
01300000JQ,09/02/2007,SURVEYED,57,24,3,57-24-3
01300000JR,09/02/2007,SURVEYED,57,23,3,57-23-3
013000025N,09/11/2017,SURVEYED,27,15,3,27-15-3
01300000KF,09/02/2007,SURVEYED,56,27,3,56-27-3
01300000KJ,09/02/2007,SURVEYED,56,26,3,56-26-3
01300000KS,09/02/2007,SURVEYED,56,25,3,56-25-3
01300000L2,09/02/2007,SURVEYED,56,23,3,56-23-3
01300000MT,09/02/2007,SURVEYED,55,26,3,55-26-3
01300000PG,09/02/2007,SURVEYED,55,23,3,55-23-3
01300000QN,09/02/2007,SURVEYED,54,28,3,54-28-3
01300002WV,09/11/2017,SURVEYED,12,02,3,12-02-3
01300000SJ,09/02/2007,SURVEYED,53,28,3,53-28-3
0130000255,17/12/2008,SURVEYED,27,24,3,27-24-3
0130000356,09/11/2017,SURVEYED,07,27,2,07-27-2
01300000ET,09/02/2007,SURVEYED,62,24,3,62-24-3
01300000FD,09/02/2007,SURVEYED,61,23,3,61-23-3
01300000FU,09/02/2007,SURVEYED,60,27,3,60-27-3
01300000FY,09/02/2007,SURVEYED,60,25,3,60-25-3
01300002Y7,09/11/2017,SURVEYED,11,05,3,11-05-3
01300000JL,09/02/2007,SURVEYED,57,26,3,57-26-3
01300000MK,09/02/2007,SURVEYED,55,27,3,55-27-3
01300001BY,09/11/2017,SURVEYED,44,26,2,44-26-2
01300001PK,09/11/2017,SURVEYED,36,28,3,36-28-3
013000000Z,09/02/2007,SURVEYED,61,19,3,61-19-3
0130000029,09/02/2007,SURVEYED,54,17,3,54-17-3
01300001ZV,09/11/2017,SURVEYED,30,23,3,30-23-3
013000029B,09/11/2017,SURVEYED,25,28,2,25-28-2
01300000ED,09/02/2007,THEORETIC,63,15,3,63-15-3
01300000EX,09/02/2007,SURVEYED,62,19,3,62-19-3
01300003EK,03/06/2013,SURVEYED,01,11,2,01-11-2
01300000FJ,09/02/2007,SURVEYED,61,17,3,61-17-3
01300000FL,09/02/2007,SURVEYED,61,15,3,61-15-3
01300000G2,09/02/2007,SURVEYED,60,20,3,60-20-3
01300001YB,09/11/2017,SURVEYED,31,23,3,31-23-3
01300000JW,09/02/2007,SURVEYED,57,19,3,57-19-3
01300000JX,09/02/2007,SURVEYED,57,18,3,57-18-3
01300000JZ,09/02/2007,SURVEYED,57,16,3,57-16-3
01300000EZ,09/02/2007,SURVEYED,62,17,3,62-17-3
01300000RV,09/02/2007,SURVEYED,54,18,3,54-18-3
01300000L7,09/02/2007,SURVEYED,56,19,3,56-19-3
01300000L8,09/02/2007,SURVEYED,56,18,3,56-18-3
01300000LA,09/02/2007,SURVEYED,56,16,3,56-16-3
01300000PQ,09/02/2007,SURVEYED,55,18,3,55-18-3
01300000PT,09/02/2007,SURVEYED,55,15,3,55-15-3
01300000TV,09/02/2007,SURVEYED,53,15,3,53-15-3
01300000EW,09/02/2007,SURVEYED,62,20,3,62-20-3
01300000EY,09/02/2007,SURVEYED,62,18,3,62-18-3
01300000F1,09/02/2007,THEORETIC,62,15,3,62-15-3
01300000FG,09/02/2007,SURVEYED,61,20,3,61-20-3
01300000FK,09/02/2007,SURVEYED,61,16,3,61-16-3
01300000HG,09/02/2007,SURVEYED,59,18,3,59-18-3
01300000J3,09/02/2007,SURVEYED,58,21,3,58-21-3
01300000JV,09/02/2007,SURVEYED,57,20,3,57-20-3
01300000JY,09/02/2007,SURVEYED,57,17,3,57-17-3
01300000L6,09/02/2007,SURVEYED,56,20,3,56-20-3
01300000L9,09/02/2007,SURVEYED,56,17,3,56-17-3
01300000LB,09/02/2007,SURVEYED,56,15,3,56-15-3
01300000TQ,09/02/2007,SURVEYED,53,18,3,53-18-3
01300000VN,09/02/2007,SURVEYED,52,21,3,52-21-3
01300001JW,22/12/2008,SURVEYED,39,26,3,39-26-3
01300005ZM,02/02/2012,THEORETIC,61,06,3,61-06-3
01300004LG,13/01/2010,SURVEYED,69,03,3,69-03-3
01300000AU,17/02/2012,THEORETIC,70,16,3,70-16-3
01300005ZT,17/02/2012,THEORETIC,64,10,3,64-10-3
01300004AV,17/02/2012,THEORETIC,80,20,3,80-20-3
01300000F2,22/02/2012,SURVEYED,62,30,1,62-30-1
01300004KZ,22/02/2012,THEORETIC,66,24,3,66-24-3
01300004KE,02/02/2012,THEORETIC,62,06,3,62-06-3
01300005CW,16/02/2012,THEORETIC,82,20,3,82-20-3
01300005ZM,02/02/2012,SURVEYED,61,06,3,61-06-3
01300004X5,09/02/2007,THEORETIC,63,08,3,63-08-3
01300006AU,09/02/2007,THEORETIC,58,03,3,58-03-3
01300006BB,09/02/2007,THEORETIC,61,04,3,61-04-3
01300006BF,09/02/2007,THEORETIC,62,04,3,62-04-3
01300004K3,09/02/2007,THEORETIC,61,01,3,61-01-3
01300003W7,09/02/2007,THEORETIC,63,04,3,63-04-3
01300006AV,09/02/2007,THEORETIC,58,04,3,58-04-3
01300003VV,09/02/2007,THEORETIC,61,03,3,61-03-3
01300004WJ,09/02/2007,THEORETIC,58,05,3,58-05-3
01300000BW,22/02/2012,THEORETIC,67,23,3,67-23-3
013000048K,09/02/2007,THEORETIC,69,08,3,69-08-3
013000061F,09/02/2007,THEORETIC,73,07,3,73-07-3
01300005NE,09/02/2007,THEORETIC,64,09,3,64-09-3
013000048L,09/02/2007,THEORETIC,69,09,3,69-09-3
01300004XG,09/02/2007,THEORETIC,65,08,3,65-08-3
01300004Y2,09/02/2007,THEORETIC,69,07,3,69-07-3
01300003XQ,09/02/2007,THEORETIC,73,08,3,73-08-3
01300005Z8,09/02/2007,THEORETIC,58,01,3,58-01-3
01300006BQ,09/02/2007,THEORETIC,65,01,3,65-01-3
01300004JU,09/02/2007,THEORETIC,57,05,2,57-05-2
01300005Z5,09/02/2007,THEORETIC,57,02,2,57-02-2
01300005Z6,09/02/2007,THEORETIC,57,03,2,57-03-2
013000059A,09/02/2007,THEORETIC,57,04,2,57-04-2
01300005NM,09/02/2007,THEORETIC,65,09,3,65-09-3
01300005PZ,09/02/2007,THEORETIC,73,09,3,73-09-3
013000059B,09/02/2007,THEORETIC,57,06,2,57-06-2
