hub,hub_dist_to_surrender,hub_railway,satellite,sat_dist_to_surrender,sat_railway,method
"Arcola, T-V",15960.9,CPR,"Forget, VL",11112.9,CPR,borealis
"Broadview, T-V",1240.7,CPR,"Summerberry, VL",17247.0,CPR,fallback
"Grenfell, T-V",6483.3,CPR,"Broadview, T-V",1240.7,CPR,borealis
"Grenfell, T-V",6483.3,CPR,"Grayson, VL",12480.0,CPR,fallback
"Grenfell, T-V",6483.3,CPR,"Killaly, VL",19775.8,CPR,fallback
"Grenfell, T-V",6483.3,CPR,"Summerberry, VL",17247.0,CPR,borealis
"Grenfell, T-V",6483.3,CPR,"Indian Head, T-V",22364.0,CPR,borealis
"Grenfell, T-V",6483.3,CPR,"Sintaluta, T-V",19289.5,CPR,borealis
"Melville, T-V",19350.2,GTPR,"Birmingham, VL",22575.7,GTPR,borealis
"Melville, T-V",19350.2,GTPR,"Duff, VL",19279.0,GTPR,borealis
"Melville, T-V",19350.2,GTPR,"Fenwood, VL",14527.1,GTPR,borealis
"Melville, T-V",19350.2,GTPR,"Goodeve, VL",4902.1,GTPR,borealis
"Melville, T-V",19350.2,GTPR,"Hubbard, VL",8124.9,GTPR,borealis
"Melville, T-V",19350.2,GTPR,"Ituna, VL",12457.2,GTPR,borealis
"Whitewood, T-V",6424.3,CPR,"Broadview, T-V",1240.7,CPR,borealis
"Wolseley, T-V",14394.8,CPR,"Summerberry, VL",17247.0,CPR,borealis
"Wolseley, T-V",14394.8,CPR,"Indian Head, T-V",22364.0,CPR,borealis
"Wolseley, T-V",14394.8,CPR,"Sintaluta, T-V",19289.5,CPR,borealis
"Regina, C",21517.5,CPR,"Balgonie, T-V",18798.5,CPR,borealis
"Regina, C",21517.5,CPR,"Indian Head, T-V",22364.0,CPR,borealis
"Regina, C",21517.5,CPR,"Lumsden, T-V",16572.8,QLSRSC,borealis
"Regina, C",21517.5,CPR,"B— Say— Tah, VL",5900.5,GTPR,borealis
"Regina, C",21517.5,CPR,"Craven, VL",14023.3,QLSRSC,borealis
"Regina, C",21517.5,CPR,"Edenwold, VL",6884.1,GTPR,borealis
"Regina, C",21517.5,CPR,"Fort Qu'Appelle, VL",8216.4,GTPR,borealis
"Regina, C",21517.5,CPR,"Lebret, VL",14957.5,GTPR,borealis
"Regina, C",21517.5,CPR,"McLean, VL",16437.7,CPR,borealis
"Regina, C",21517.5,CPR,"Montmartre, VL",6516.5,CNoR,borealis
"Regina, C",21517.5,CPR,"North Regina, VL",21156.3,CPR,borealis
"Regina, C",21517.5,CPR,"Pilot Butte, VL",19359.5,CPR,borealis
"Indian Head, T-V",22364.0,CPR,"Summerberry, VL",17247.0,CPR,borealis
"Indian Head, T-V",22364.0,CPR,"Balgonie, T-V",18798.5,CPR,borealis
"Indian Head, T-V",22364.0,CPR,"Sintaluta, T-V",19289.5,CPR,borealis
"Indian Head, T-V",22364.0,CPR,"McLean, VL",16437.7,CPR,borealis
"Indian Head, T-V",22364.0,CPR,"North Regina, VL",21156.3,CPR,borealis
"Indian Head, T-V",22364.0,CPR,"Pilot Butte, VL",19359.5,CPR,borealis
"Lumsden, T-V",16572.8,QLSRSC,"Bethune, VL",15615.6,QLSRSC,borealis
"Lumsden, T-V",16572.8,QLSRSC,"Craven, VL",14023.3,QLSRSC,borealis
"Lumsden, T-V",16572.8,QLSRSC,"Disley, VL",16285.3,QLSRSC,borealis
"Lumsden, T-V",16572.8,QLSRSC,"North Regina, VL",21156.3,CPR,borealis
"Qu'Appelle, T-V",13027.3,CPR,"Balgonie, T-V",18798.5,CPR,borealis
"Qu'Appelle, T-V",13027.3,CPR,"Indian Head, T-V",22364.0,CPR,borealis
"Qu'Appelle, T-V",13027.3,CPR,"Sintaluta, T-V",19289.5,CPR,fallback
"Qu'Appelle, T-V",13027.3,CPR,"McLean, VL",16437.7,CPR,borealis
"Qu'Appelle, T-V",13027.3,CPR,"North Regina, VL",21156.3,CPR,borealis
"Qu'Appelle, T-V",13027.3,CPR,"Pilot Butte, VL",19359.5,CPR,borealis
"Balcarres, VL",23253.0,CPR,"Melville, T-V",19350.2,GTPR,borealis
"Balcarres, VL",23253.0,CPR,"Dubuc, VL",15322.4,CPR,borealis
"Balcarres, VL",23253.0,CPR,"Duff, VL",19279.0,GTPR,borealis
"Balcarres, VL",23253.0,CPR,"Grayson, VL",12480.0,CPR,borealis
"Balcarres, VL",23253.0,CPR,"Killaly, VL",19775.8,CPR,borealis
